ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,"Co przesądza o danej fryzurze, że jest ombre lub sombre? ",silne degażowanie ,wygolone boki ,sposób farbowania ,burza loków ,3
2,"Dokończ fragment ”Ody do młodości”: ”Dzieckiem w kolebce, kto łeb urwał Hydrze, ten młody zdusi Centaury, piekłu ofiarę wydrze... ",wydartą utopi w Tybrze” ,ogólnie wrażenie wywrze” ,do nieba pójdzie po laury” ,nie straszne mu ichtiozaury” ,3
3,Którymi pojazdami nie ścigają się zawodnicy Rajdu Dakar?  ,ciężarówkami  ,quadami  ,rowerami  ,motocyklami ,3
4,Spośród stopek wybierz stópkę. ,skład i adres redakcji ,szklaneczka do trunku ,okucie kolby karabinu ,dystalna część kończyny ,4
5,"W 2012 r. królowa Elżbieta II zadebiutowała, grając: ",na organach Hammonda ,w piłkę plażową  ,u boku Bonda ,lady Makbet w teatrze ,3
6,"”Musisz przyznać, że jak tatuś zrobi dzióbek, to nie ma... (mhm, mhm) we wsi” - mówi Adaś Miauczyński: ",demonstrując selfie ,garnirując drób ,poprawiając synowi kaptur ,składając origami ,3
7,"Kogo przedstawia tak zwany człowiek witruwiański, słynny rysunek autorstwa Leonarda da Vinci?  ",ludzki płód w łonie ,nagą nastolatkę ,nagiego dojrzałego mężczyznę ,ciało zmarłego starca ,3
8,Sterowiec albo litewska kluska to: ,kołdun ,pyza  ,cepelin  ,kulebiak  ,3
9,Kto kogo desygnował? ,D. Tusk B. Komorowskiego ,B. Szydło A. Dudę ,J. Kaczyński A. Dudę  ,L. Kaczyński D. Tuska ,4
10,Jaka jest suma cyfr składających się na rok Bitwy Warszawskiej? ,10,12,15,16,2
